trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
122,0,122,0,248.0002081,,247.95817199999988,5,248.0002081,248.0002081,0.019735000000082437,249.03390119999995,249.57082509999987,[0.3815104166666667],[0.3072916666666667],[1],[0],[0],[1.5933195000000069],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
123,0,123,0,249.63355750000005,,249.58113690000005,5,249.63355750000005,249.63355750000005,0.030737899999849105,250.6673613999999,251.20511229999988,[0.00390625],[0.18880208333333334],[1],[0],[0],[1.5940049999999246],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
124,0,124,0,251.26685900000007,,251.21547669999995,5,251.26685900000007,251.26685900000007,0.02686830000016016,252.28377690000002,253.75132480000002,[-0.06510416666666667],[0.15234375],[1],[0],[0],[2.5110531000000265],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
125,0,125,0,253.81681090000006,,253.75869540000008,5,253.81681090000006,253.81681090000006,0.028046600000152466,254.83345759999997,256.35480729999995,[-0.24739583333333334],[0.3880208333333333],[1],[0],[0],[2.5692054999999527],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
126,0,126,0,256.3998388,,256.3600724999999,5,256.3998388,256.3998388,0.02263109999989865,257.4166011,258.55113359999996,[0.14453125],[0.35546875],[1],[0],[0],[2.1692401000000245],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
127,0,127,0,258.60001650000004,,258.55538439999987,5,258.60001650000004,258.60001650000004,0.025158499999861306,259.59985170000004,261.4517079,[0.4440104166666667],[0.37109375],[1],[0],[0],[2.8717225000000326],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
128,0,128,0,261.53301379999994,,261.4565278,10,261.53301379999994,261.53301379999994,0.04186589999994794,262.54968080000003,263.0226433999999,[0.4739583333333333],[0.3359375],[1],[0],[0],[1.524633200000153],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
129,0,129,0,263.0663955,,263.0265873999999,5,263.0663955,263.0663955,0.01761420000002545,264.0705831,264.78532999999993,[-0.036458333333333336],[-0.16145833333333334],[1],[0],[0],[1.7414567000000716],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
130,0,130,0,264.8330427000001,,264.79202439999995,5,264.8330427000001,264.8330427000001,0.021789100000205508,265.85124210000004,266.5019253999999,[-0.12239583333333333],[-0.12760416666666666],[1],[0],[0],[1.6889579999999569],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
131,0,131,0,266.58285239999987,,266.5139300999999,10,266.58285239999987,266.58285239999987,0.04407590000005257,267.59964880000007,270.18440069999997,[0.43359375],[0.09375],[1],[0],[0],[3.6282043999999587],[],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
